batsman,season,strikerate
"MEK Hussey",2013,4.827586206896552
"MEK Hussey",2014,6.4171122994652405
"MEK Hussey",2015,5.47945205479452
"MF Maharoof",2008,2.5316455696202533
"MF Maharoof",2009,0
"MF Maharoof",2010,8.333333333333334
"MG Johnson",2013,13.513513513513514
"MG Johnson",2014,7.8431372549019605
"MG Johnson",2015,10.526315789473685
"MG Johnson",2016,7.142857142857143
"MG Johnson",2017,5.882352941176471
Misbah-ul-Haq,2008,8.536585365853659
"MJ Clarke",2012,6.25
"MJ Guptill",2016,7.2727272727272725
"MJ Guptill",2017,1.1363636363636365
"MJ Lumb",2010,9.693877551020408
"MJ Lumb",2011,0
"MJ McClenaghan",2015,0
"MJ McClenaghan",2016,0
"MJ McClenaghan",2017,6.25
"MK Pandey",2008,10
"MK Pandey",2009,3.3333333333333335
"MK Pandey",2010,6.437768240343348
"MK Pandey",2011,6.008583690987124
"MK Pandey",2012,8.695652173913043
"MK Pandey",2013,2.8776978417266186
"MK Pandey",2014,7.7994428969359335
"MK Pandey",2015,2.1390374331550803
"MK Pandey",2016,8.421052631578947
"MK Pandey",2017,4.444444444444445
"MK Tiwary",2008,4.597701149425287
"MK Tiwary",2009,0
"MK Tiwary",2010,7.8125
"MK Tiwary",2011,5.357142857142857
"MK Tiwary",2012,4.780876494023905
"MK Tiwary",2013,4.225352112676056
"MK Tiwary",2014,5.691056910569106
"MK Tiwary",2015,6.896551724137931
"MK Tiwary",2017,5.785123966942149
"ML Hayden",2008,16.296296296296298
"ML Hayden",2009,13.202933985330073
"ML Hayden",2010,7.4576271186440675
"MM Patel",2008,0
"MM Patel",2009,0
"MM Patel",2010,20
"MM Patel",2011,0
"MM Patel",2012,0
"MM Patel",2017,0
"MM Sharma",2013,0
"MM Sharma",2014,0
"MM Sharma",2015,0
"MM Sharma",2016,7.407407407407407
"MM Sharma",2017,1.9607843137254901
"MN Samuels",2012,9.67741935483871
"MN Samuels",2013,0
"MN Samuels",2017,3.125
"MN van Wyk",2009,5.925925925925926
"Mohammad Ashraful",2009,25
"Mohammad Asif",2008,0
"Mohammad Hafeez",2008,5.9523809523809526
"Mohammad Nabi",2017,0
"Mohammed Shami",2013,0
"Mohammed Shami",2014,12.5
"Mohammed Shami",2016,25
"Mohammed Shami",2017,4.166666666666667
"MP Stoinis",2016,7.207207207207207
"MP Stoinis",2017,4
"MR Marsh",2010,9.67741935483871
"MR Marsh",2011,2
"MR Marsh",2013,4.587155963302752
"MR Marsh",2016,0
"MS Bisla",2010,12.698412698412698
"MS Bisla",2011,10
"MS Bisla",2012,12.280701754385966
"MS Bisla",2013,16.93548387096774
"MS Bisla",2014,0
"MS Bisla",2015,0
"MS Dhoni",2008,5.956112852664577
"MS Dhoni",2009,4.074074074074074
"MS Dhoni",2010,6.046511627906977
"MS Dhoni",2011,2.0242914979757085
"MS Dhoni",2012,4.946996466431095
"MS Dhoni",2013,7.046979865771812
"MS Dhoni",2014,12.015503875968992
"MS Dhoni",2015,5.825242718446602
"MS Dhoni",2016,8.636363636363637
"MS Dhoni",2017,6.513409961685824
"MS Gony",2008,12
"MS Gony",2009,0
"MS Gony",2010,14.285714285714286
"MS Gony",2011,50
"MS Gony",2012,0
"MS Gony",2013,7.407407407407407
"MS Wade",2011,3.0303030303030303
"MV Boucher",2008,4.972375690607735
"MV Boucher",2009,7.43801652892562
"MV Boucher",2010,0
"MV Boucher",2011,66.66666666666667
"N Rana",2016,7.6923076923076925
"N Rana",2017,6.498194945848375
"N Saini",2012,3.4965034965034967
"ND Doshi",2011,0
"Niraj Patel",2008,8.433734939759036
"Niraj Patel",2009,7.317073170731708
"NJ Maddinson",2014,0
"NJ Maddinson",2015,0
"NJ Rimmington",2011,0
"NL McCullum",2011,8.695652173913043
"NLTC Perera",2011,6.896551724137931
"NLTC Perera",2012,25
"NLTC Perera",2013,12.138728323699421
"NLTC Perera",2015,26.666666666666668
"NLTC Perera",2016,7.216494845360825
"NM Coulter-Nile",2013,0
"NM Coulter-Nile",2015,10
"NM Coulter-Nile",2016,0
"NM Coulter-Nile",2017,7.6923076923076925
"NS Naik",2016,12.121212121212121
"NV Ojha",2009,1.3793103448275863
"NV Ojha",2010,5.442176870748299
"NV Ojha",2011,7.6923076923076925
"NV Ojha",2012,8.26086956521739
"NV Ojha",2013,0
"NV Ojha",2014,12.941176470588236
"NV Ojha",2015,4.761904761904762
"NV Ojha",2016,4.225352112676056
"NV Ojha",2017,7.142857142857143
"OA Shah",2010,3.125
"OA Shah",2011,12.5
"OA Shah",2012,14.12639405204461
"OA Shah",2013,4.166666666666667
"P Awana",2012,0
"P Awana",2013,0
"P Dogra",2010,1.8518518518518519
"P Dogra",2012,4
"P Dogra",2013,12.5
"P Kumar",2008,6
"P Kumar",2009,0
"P Kumar",2010,12.5
"P Kumar",2011,9.090909090909092
"P Kumar",2012,9.375
"P Kumar",2013,19.51219512195122
"P Kumar",2014,0
"P Kumar",2015,4
"P Kumar",2016,3.7037037037037037
"P Kumar",2017,0
"P Negi",2012,3.3333333333333335
"P Negi",2015,12.987012987012987
"P Negi",2016,7.936507936507937
"P Negi",2017,8.771929824561404
"P Parameswaran",2011,0
"P Parameswaran",2012,50
"P Sahu",2016,0
"PA Patel",2008,10.793650793650794
"PA Patel",2009,11.450381679389313
"PA Patel",2010,8.433734939759036
"PA Patel",2011,4.232804232804233
"PA Patel",2012,10.843373493975903
"PA Patel",2013,4.21455938697318
"PA Patel",2014,6.282722513089006
"PA Patel",2015,6.666666666666667
"PA Patel",2016,8.695652173913043
"PA Patel",2017,10.38961038961039
"PA Reddy",2012,6.349206349206349
"PA Reddy",2013,3.8461538461538463
"Pankaj Singh",2008,0
"Pankaj Singh",2009,0
"Pankaj Singh",2010,0
"Parvez Rasool",2013,11.11111111111111
"Parvez Rasool",2015,0
"Parvez Rasool",2016,0
"PC Valthaty",2009,0
"PC Valthaty",2011,7.977207977207978
"PC Valthaty",2012,3.8461538461538463
"PC Valthaty",2013,23.529411764705884
"PD Collingwood",2010,6.289308176100629
"PJ Cummins",2015,50
"PJ Cummins",2017,3.7037037037037037
"PJ Sangwan",2008,20
"PJ Sangwan",2009,0
"PJ Sangwan",2010,33.333333333333336
"PJ Sangwan",2013,0
"PJ Sangwan",2017,0
"PM Sarvesh Kumar",2008,0
"PP Chawla",2008,4.918032786885246
"PP Chawla",2009,20.512820512820515
"PP Chawla",2010,7.936507936507937
"PP Chawla",2011,3.6363636363636362
"PP Chawla",2012,1.1363636363636365
"PP Chawla",2013,10
"PP Chawla",2014,10
"PP Chawla",2015,10.204081632653061
"PP Chawla",2016,3.8461538461538463
"PP Chawla",2017,0
"PP Ojha",2008,25
"PP Ojha",2009,14.285714285714286
"PP Ojha",2010,0
